"Year","Type","NAME","Candidate","Votes","Party","Cast"
"2018","State Representative","54","JAMES G TOWNSEND",3413,"REP","ElectionDay"
"2018","State Representative","55","CATHRYNN N BROWN",7755,"REP","Total"
"2018","State Representative","55","CATHRYNN N BROWN",702,"REP","Absentee"
"2018","State Representative","55","CATHRYNN N BROWN",3767,"REP","Early"
"2018","State Representative","55","CATHRYNN N BROWN",3286,"REP","ElectionDay"
"2018","State Representative","56","ZACH J COOK",6646,"REP","Total"
"2018","State Representative","56","ZACH J COOK",622,"REP","Absentee"
"2018","State Representative","56","ZACH J COOK",3330,"REP","Early"
"2018","State Representative","56","ZACH J COOK",2694,"REP","ElectionDay"
"2018","State Representative","57","JASON CARL HARPER",5250,"REP","Total"
"2018","State Representative","57","JASON CARL HARPER",417,"REP","Absentee"
"2018","State Representative","57","JASON CARL HARPER",3169,"REP","Early"
"2018","State Representative","57","JASON CARL HARPER",1664,"REP","ElectionDay"
"2018","State Representative","57","BILLIE ANN HELEAN",5033,"DEM","Total"
"2018","State Representative","57","BILLIE ANN HELEAN",440,"DEM","Absentee"
"2018","State Representative","57","BILLIE ANN HELEAN",3010,"DEM","Early"
"2018","State Representative","57","BILLIE ANN HELEAN",1583,"DEM","ElectionDay"
"2018","State Representative","58","CANDY SPENCE EZZELL",3857,"REP","Total"
"2018","State Representative","58","CANDY SPENCE EZZELL",348,"REP","Absentee"
"2018","State Representative","58","CANDY SPENCE EZZELL",1722,"REP","Early"
"2018","State Representative","58","CANDY SPENCE EZZELL",1787,"REP","ElectionDay"
"2018","State Representative","59","GREG NIBERT",7862,"REP","Total"
"2018","State Representative","59","GREG NIBERT",642,"REP","Absentee"
"2018","State Representative","59","GREG NIBERT",4384,"REP","Early"
"2018","State Representative","59","GREG NIBERT",2836,"REP","ElectionDay"
"2018","State Representative","59","CARL M SWINNEY",2376,"LIB","Total"
"2018","State Representative","59","CARL M SWINNEY",302,"LIB","Absentee"
"2018","State Representative","59","CARL M SWINNEY",1158,"LIB","Early"
"2018","State Representative","59","CARL M SWINNEY",916,"LIB","ElectionDay"
"2018","State Representative","60","ALEXIS JIMENEZ",5468,"DEM","Total"
"2018","State Representative","60","ALEXIS JIMENEZ",539,"DEM","Absentee"
"2018","State Representative","60","ALEXIS JIMENEZ",3467,"DEM","Early"
"2018","State Representative","60","ALEXIS JIMENEZ",1462,"DEM","ElectionDay"
"2018","State Representative","60","TIM D LEWIS",6124,"REP","Total"
